id;nom;icone;icone_content_type;absisce;ordonnee;arriereplan;arriereplan_content_type
1;Programmable array;../fake-data/blob/hipster.png;image/png;65579;48947;../fake-data/blob/hipster.png;image/png
2;York;../fake-data/blob/hipster.png;image/png;56780;33415;../fake-data/blob/hipster.png;image/png
3;yellow Automotive plum;../fake-data/blob/hipster.png;image/png;19527;86113;../fake-data/blob/hipster.png;image/png
4;paradigms Representative Multi-tiered;../fake-data/blob/hipster.png;image/png;96996;51051;../fake-data/blob/hipster.png;image/png
5;invoice Louisiana primary;../fake-data/blob/hipster.png;image/png;41512;91619;../fake-data/blob/hipster.png;image/png
6;District Reactive Borders;../fake-data/blob/hipster.png;image/png;22201;9871;../fake-data/blob/hipster.png;image/png
7;Coves overriding;../fake-data/blob/hipster.png;image/png;42201;68816;../fake-data/blob/hipster.png;image/png
8;service-desk Vermont wireless;../fake-data/blob/hipster.png;image/png;39413;4752;../fake-data/blob/hipster.png;image/png
9;parse overriding;../fake-data/blob/hipster.png;image/png;20987;84629;../fake-data/blob/hipster.png;image/png
10;hub Cotton impactful;../fake-data/blob/hipster.png;image/png;38265;23451;../fake-data/blob/hipster.png;image/png
